epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
117,30099.5,0.41239,0.44113,0.17833,0.8099,0.68939,0.75952,0.40034,0.36243,0.39065,0.20037,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,30754.2,0.5198,0.46174,0.2012,0.80649,0.68267,0.75163,0.39233,0.36982,0.38758,0.20233,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,31409.4,0.51028,0.46715,0.19926,0.8032,0.67433,0.7435,0.38393,0.37732,0.38438,0.20445,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,32066.5,0.52425,0.47322,0.20614,0.80662,0.66852,0.73932,0.38089,0.37901,0.38388,0.20446,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,32721.5,0.42187,0.44384,0.17322,0.80528,0.66869,0.7402,0.37901,0.38189,0.38153,0.20487,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,33378.8,0.40881,0.43909,0.17284,0.80298,0.67011,0.73843,0.37869,0.38169,0.38127,0.2051,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,34034.8,0.48535,0.45629,0.1955,0.79806,0.6685,0.73455,0.37642,0.38476,0.37977,0.20633,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,34690.7,0.44407,0.44098,0.18489,0.80136,0.65669,0.73,0.37311,0.38921,0.37741,0.20721,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,35343.7,0.40704,0.4317,0.17058,0.79864,0.65718,0.72875,0.37182,0.39155,0.37596,0.20806,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,35997.2,0.43162,0.43763,0.17407,0.79698,0.66065,0.73015,0.37413,0.38982,0.37371,0.208,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,36648.3,0.43841,0.43352,0.18069,0.79644,0.66157,0.73052,0.37535,0.38812,0.37324,0.2079,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
