epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,12672.9,1.19656,0.85604,1.18859,0.80011,0.72905,0.80327,0.48679,1.32702,0.97105,1.24279,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,12980,1.19261,0.84624,1.18444,0.80068,0.72846,0.80406,0.48685,1.32691,0.96735,1.24324,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,13291.2,1.1903,0.87485,1.18718,0.80627,0.72679,0.805,0.48733,1.32685,0.96597,1.24299,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,13602.3,1.18509,0.83942,1.1834,0.80252,0.7298,0.8049,0.48802,1.32696,0.96481,1.24291,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,13914.4,1.19738,0.84954,1.19055,0.8084,0.72444,0.80474,0.48783,1.32776,0.96096,1.24377,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,14225.2,1.18641,0.83633,1.19148,0.81022,0.72178,0.80449,0.48826,1.32814,0.95982,1.24352,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,346.516,1.15784,0.80934,1.16964,0.80975,0.72267,0.80528,0.48821,1.32883,0.95624,1.24448,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,687.397,1.17474,0.83094,1.17582,0.80885,0.72304,0.80456,0.48836,1.32863,0.95579,1.24472,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,1003.54,1.1802,0.83547,1.18037,0.81005,0.7237,0.80452,0.48823,1.3286,0.95549,1.24467,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,1319.07,1.17492,0.82404,1.18551,0.809,0.72419,0.80423,0.48776,1.32801,0.95475,1.24424,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,1632.48,1.17312,0.82906,1.17337,0.80705,0.72702,0.80484,0.48796,1.32723,0.95392,1.24335,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,1940.76,1.16731,0.82654,1.17651,0.80739,0.72648,0.80428,0.48771,1.32755,0.95356,1.24304,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,2250.45,1.16633,0.83059,1.17441,0.80737,0.72572,0.80468,0.48821,1.32653,0.95359,1.24178,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,2566.2,1.17223,0.82147,1.17423,0.79921,0.73388,0.80493,0.48794,1.32569,0.95162,1.24094,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
